㐀	丘
䅪	𥢢
䅳	𫀬
䆅	𰨳
䆉	𫁂
䆋	秋
䆔	竉
䆫	窓 窗
䆼	窠
䇓	𰩧
䇚	𥵜
䇲	筴
䈇	罩
䉆	𮵮
䉍	𬕊
䉐	𬕛
䉑	𫁲
䉙	𥬀
䉤	籔
䉬	𫂈
䉱	𬕦
䉲	𥮜
䉵	籑 饌
䉶	𫁷
䊜	糰 𰪫
䊟	𰫋
䊭	𥺅
䊲	𬡻
䊵	𮉠
䊷	䌶
䊺	𫄚
䋃	𫄜
䋆	𰬁
䋍	𰬂
䋎	𬘜
䋏	𮉣
䋐	𬘙
䋑	𰬃
䋔	𫄞
䋙	䌺
䋚	䌻
䋦	𫄩
䋫	𰬑
䋲	繩
䋹	䌿
䋺	𬘴
䋻	䌾
䋼	𫄮
䋽	𰬭
䋾	𬘲
䋿	𦈓
䌁	𬘱
䌇	𰬱
䌈	𦈖
䌋	𦈘
䌌	𰬶
䌐	𬘮
䌖	𦈜
䌝	𦈟
䌞	𬘪
䌟	𦈞
䌥	縯 𦈠
䌪	𬙁
䌫	纜
䌰	𦈙
䌶	䊷
䌷	紬
䌸	縳
䌹	絅
䌺	䋙
䌻	䋚
䌼	綐
䌽	綵
䌾	䋻
䌿	䋹
䍀	繿
䍁	繸
䍠	䍦
䍤	𫅅
䍦	䍠
䍷	𬙭
䍽	𦍠
䎘	𬚄
䎙	𫅭
䎛	㖈
䎬	䎱
䎱	䎬
䏊	𰭹
䏕	飪
䏝	膞
䐢	𰮙
䐣	𬁽
䐪	臇
䐰	饈
䐷	𬂅
䐹	𰮲
䐽	𰯎
䑗	𬛹
䑼	𰰌
䑽	𦪙
䒒	苕
䒿	膋
䓓	薵
䓕	薳
䓖	藭
䓣	𬜯
䓨	罃
䔇	𰰴
䔈	𰱀
䔛	檾
䔡	𬝁
䕌	稚
䕏	𮶝
䕡	𰱩
䕤	𫟕
䕭	蕁
䕳	𦰴
䕹	𰰶
䕼	𬝴
䖀	𰲖
䖅	𫟑
䖈	虐
䖍	虔
䖏	処 處
䖚	𰲟
䖟	蝱
䖣	蚤
䖵	蜫
䖼	𧍕
䗃	𰲳
䗅	𫊪
䗖	螮
䗥	𰲯
䗦	䗬
䗬	䗦
䗻	𮔂
䗽	𰳚
䗿	𧉞
䘑	脉
䘚	卒
䘛	𧝞
䘞	𧜗
䘺	綻
䙊	𧜵
䙌	䙡
䙓	襬
䙔	𫋲
䙝	褺 褻
䙡	䙌
䙱	𧜭
䙼	𰴖
䚆	𬢑
䚉	𬢐
䚎	𥅾
䚕	𰴗
䚞	𰴤
䚩	𫌯
䚳	𬣛
䚵	𬣟
䚽	𬣜
䛀	𰵐
䛄	𫍠
䛌	𰵜
䛍	𬣧
䛓	譼
䛘	𬣯
䛛	𬣬
䛞	𬣸
䛠	𰵫
䛡	話
䛤	𬣹
䛬	𬤁
䛭	𰵰
䛳	𫍫
䛴	𮷈
䛻	誘
䛼	譭
䛽	𬤌
䛿	𬤑
䜀	䜧
䜄	𰶈
䜉	𬤘
䜊	嘈
䜋	𬤉
䜍	𬤟
䜎	𬣿
䜏	𰶇
䜒	𬤡
䜖	𫟢
䜚	𬤪
䜝	𬤬
䜣	訢
䜤	鿁
䜥	𧩙
䜧	䜀
䜩	讌
䜶	豇
䝋	豵
䝏	𰶬
䝕	𬥄
䝙	貙
䝜	狻
䝤	獠
䝭	𫎧
䝯	𬥵
䝻	𧹕
䝼	䞍
䞀	𬥽
䞁	𬥺
䞂	𬥻
䞈	𧹑
䞉	𰷩
䞋	𫎪
䞌	𧵳
䞍	䝼
䞎	𧶧
䞐	賰
䞓	赬 𫎭
䟃	𫎺
䟆	𫎳
䟏	𰷴
䟐	𫎱
䟢	躎
䟺	𬦥
䠆	𫏃
䠊	剕
䠟	𰸈
䠠	𰸛
䠩	𰸊
䠮	𬧃
䠱	躅 𨅛
䡁	𬧢
䡄	𮷖
䡅	𰹳
䡇	𰹷
䡊	𰹺
䡐	𫟤
䡗	𬨆
䡘	𬨉
䡝	𰺑
䡟	𬨌
䡦	𬨑
䡩	𫟥
䡰	𰺘
䡴	𰺝
䡵	𫟦
䡶	𬨔
䡷	𰺡
䡻	𰺤
䡾	𰺠
䢀	𨊰
䢁	𨊸
䢂	𨋢
䢈	𰺭
䢙	敗
䢜	歸
䢨	𨑹
䣩	醇
䤌	𮠞
䤍	𨢥 𰼑
䤠	鍺 𰽠
䤤	𫟺
䤥	𰽺
䤨	𰽸
䤩	𬭈
䤪	𬭆
䤬	𰾈
䤭	𮸌
䤵	𰾐
䤸	𰾦
䤻	𰾖
䤼	𬭣
䥀	捵
䥄	𫠀
䥇	䦂
䥑	鿏
䥓	𮸞
䥕	𬭯
䥖	𰾻
䥗	𫔋
䥛	𬭴
䥝	𰿁
䥞	𬭻
䥨	鑢
䥩	𨱖
䥪	𮸗
䥯	𫔆
䥱	䥾
䥴	𰿅
䥶	𰽝
䥷	㔍 𰿇
䥸	𨧮
䥺	釾
䥽	鏺
䥾	䥱
䥿	𨯅
䦀	𨦫
䦁	𨧜
䦂	䥇
䦃	鐯
䦅	鐥
䦆	钁
䦌	𮤬
䦎	𰿨
䦓	䀡 覘
䦖	𮸥
䦘	𨸄
䦛	䦶
䦝	𬮨
䦟	䦷
䦣	𮸦
䦪	𰿴
䦯	𫔵
䦱	𰿫
䦳	𨷿
䦶	䦛
䦷	䦟
䧞	𬮺
䧢	𨸟
䨘	霰
䨴	𱁒
䨶	𩆆
䩄	靦
䩞	韂
䩤	𮸮
䩫	𬰥
䪊	龓 𫖅
䪍	𱁽
䪏	𩏼
䪐	𱂅
䪓	𬰳
䪗	𩐀
䪘	𩏿
䪜	𬰷
䪝	𱂌
䪥	𱂎
䪴	𫖫
䪼	𱂢
䪾	𫖬
䪿	囟
䫀	𫖱
䫂	𫖰
䫈	𬱣
䫉	𬥈
䫌	𱂮
䫏	𬱦
䫐	𬃲
䫜	𬱮
䫟	𫖲
䫠	𬱰
䫥	𱆚
䫩	𬱬
䫴	𩖗
䫶	𫖺
䫻	𫗇
䫼	𬱷
䫾	𫠈
䬀	𱃖
䬂	𬱸
䬅	𱃚
䬍	𬲀
䬎	𬱿
䬐	𱃜
䬒	颼
䬓	𫗊
䬔	𱃞
䬘	𩙮
䬝	𩙯
䬞	𩙧
䬟	𱃙
䬡	翥
䬣	𱃱
䬧	𫗟
䬪	𱃳
䬫	𬲮
䬬	𱃵
䬯	𬲫
䬲	𬲯
䬳	𱃷
䬶	𬲷
䬹	𱃸
䬾	𬲻
䭀	𩠇
䭃	𩠈
䭅	𬲾
䭇	𬳀
䭈	𱄃
䭉	𬳅
䭑	𫗱
䭒	𬳋
䭓	𱃹
䭔	𫗰
䭕	𬲕
䭘	𬳑
䭞	𬲳
䭡	𱄉
䭢	𬲲
䭣	𬲶
䭪	𩞯
䭭	𬱯
䭾	馱
䭿	𩧭
䮂	𱅄
䮄	𫠊
䮈	𬳾
䮗	𬴁
䮝	𩧰
䮞	𩨁
䮠	𩧿
䮧	𱅠
䮫	𩨇
䮰	𫘮
䮲	𱅦
䮳	𩨏
䮸	𬳸
䮽	𬴍
䮾	𩧪
䮿	𬴏
䯀	䯅
䯃	𩣑
䯄	騧
䯅	䯀
䯌	尻
䯤	𩩈
䯻	髻
䰎	𱆃
䰐	𱆅
䰖	𱆈
䰗	鬮
䰞	煮
䰫	𱆙
䰲	𱇍
䰷	𬶆
䰻	𱇕
䰽	𱇑
䰾	鲃
䱀	𫚐
䱁	𫚏
䱂	𱇤
䱅	𱇚
䱇	鱓 𱇞
䱌	𱇬
䱍	䱎 𬶊
䱎	䱍 𱇥
䱐	𱇲
䱒	𱇰
䱓	𬶓
䱗	𮬞
䱙	𩾈
䱚	𮬠
䱛	𮬟
䱜	𱇷
䱟	𱈀
䱡	𱇽
䱤	𱇻
䱥	𱇹
䱧	𫚠
䱬	𩾊
䱭	𱈇
䱰	𩾋
䱱	𬶤
䱴	𱈈
䱵	𮬢
䱷	䲣 漁
䱸	𫠑
䱹	𬶣
䱻	𮬡
䱽	䲝 鯧
䱾	𱈆
䲁	鳚
䲅	𫚜
䲉	𱈒
䲏	𬶗
䲕	𬶴
䲖	𩾂
䲗	𮬣
䲘	鳤
䲙	𬶎
䲚	𱈖
䲛	𱈛
䲝	䱽
䲞	𩶘
䲟	鮣
䲠	鰆
䲡	鰌
䲢	鰧
䲣	䱷
䲤	鿐
䲨	𬷾
䲰	𪉂
䲸	𮭡
䲹	𱉖
䲼	𬸆
䳅	𱉙
䳇	𱉞
䳍	𮭥
䳏	𱉤
䳒	𱉧
䳓	𱉦
䳕	𱉺
䳘	鵝
䳚	𱉶
䳜	𫛬
䳟	𱊂
䳢	𫛰
䳤	𫛮
䳥	𮹗
䳧	𫛺
䳨	𬸛
䳫	𫛼
䳭	𱉼
䳮	𱊓
䳲	𱊙
䳺	𱊣
䳽	𮹙
䴇	𱊪
䴈	𬸩
䴉	鹮
䴋	𫜅
䴏	𮹜
䴓	鳾
䴔	鵁
䴕	鴷
䴖	鶄
䴗	鶪
䴘	鷈 鷉
䴙	鸊
䴚	𮭰
䴝	𱊼
䴬	𪎈
䴭	𬹅
䴮	𱋆
䴱	𫜒
䴲	𱋊
䴳	𱋎
䴴	𪎋
䴵	𱋔
䴷	𬹉
䴸	麩 𱋗
䴹	餜 𱋙
䴺	𱋝
䴽	𫜔
䵂	𱋪
䵃	𱋫
䵆	𱋮
䵐	𱋴
䵑	䵒
䵒	䵑
䵘	𬓸
䵳	𪑅
䵴	𫜙
䵶	𱌁
䵷	𱌃
䶏	涕
䶕	𫜨
䶗	𮯙
䶢	𬺍
䶣	𬺃
䶦	𬺉
䶧	𱌰
䶨	𱌵
䶪	𬺕
䶮	龑
䶱	𱍇
䶲	𫜳
䶾	𣢧
一	壹 弌
丁	𠆤
丂	巧
七	柒
丄	上
丅	下
万	卍 萬
三	叁 弎
上	丄 𠄞
下	丅 厥 𠄟
丌	其
不	不 𠀚 𠙐
与	與
丐	匃
丑	醜
专	專
且	𠀃 𠀇
丕	仳
世	丗 卋
丗	世
丘	㐀 㘳 丠 坵
业	業
丛	叢
东	東
丝	絲
丟	丢
両	两 兩
丢	丟
丣	柳 酉
两	両 兩
严	嚴
並	并 幷 竝
丧	喪
丩	𠃏
个	個 箇
丬	爿
中	塚 𠁧 𠁩
丰	〈 〉 豐 𡴀
丱	卝
串	串
临	臨
丶	主
丸	𠁽
丹	㣋 丹 𠁿 𠕑
为	為 爲
主	丶 宔
丼	井
丽	麗
举	舉
乃	廼 迺 𠄎 𠧤 𢎧 𢏩
久	乆
乆	久
乇	虐
么	幺 麼 麽
义	義
之	㞢
乌	烏
乎	虖
乏	𠓟
乐	樂
乔	喬
乕	虎
乖	𠁰 𠂯 𦮃
乗	乘
乘	乗 𠅞 𠓸 𨍱
乚	隱
九	玖
也	匜 𠃟
习	習
乡	鄉
书	書
乨	始
乩	稽
买	買
乱	亂
乹	乾
乾	乹 亁 干 漧 𠄋
乿	治
亀	龜
亁	乾
亂	乱 𠧎 𠧏 𠮗
了	瞭 了
予	余 豫
争	爭
亊	事
事	亊 叓 𠭏
二	弍 貳 贰
于	扵 於
亏	扵 於 虧
云	員 雲
亓	其
五	㐅 伍 𠄡
井	丼
亗	岁 歲 𡻕
亘	亙
亙	㮓 亘
亚	亞
亜	亞
亝	齊
亞	亚 亜 惡
亡	亾 兦
亢	抗
交	䢒
亦	𠅃
产	產 産
亨	亯 烹 𠅖
亩	畝
享	𠅠
京	亰
亮	亮
亯	亨 享 烹
亰	京 原
亱	夜
亲	榛 親
亵	褻
亷	廉
亸	嚲
人	亻 𠔽
亻	人
亼	集
亾	亡
亿	億
什	什
仁	忈 忎 𡰥
仂	働
仃	停
仅	僅
仆	僕
仇	讎 讐
从	從
仏	佛
仑	侖 崙
仓	倉
他	她 牠
仙	僊
仝	同
仞	仭
仟	千 阡
令	令
以	㠯
仪	儀
们	們
仭	仞
仮	假
仳	丕
价	價
仺	倉
任	仼
仼	任
份	分 彬
仾	低
仿	倣 彷
伀	彸
企	𠈮
伃	妤
伊	𠈽 𦯴
伍	五
众	眾 衆
优	優
伙	夥
会	會
伛	傴
伜	倅
伝	傳
伞	傘
伟	偉
传	傳
伡	俥
伣	俔
伤	傷
伥	倀
伦	倫
伧	傖
伩	信
伪	偽 僞
伫	佇
伭	玄 𠆺
伱	你
伲	你
伷	冑 胄
似	𠚦
伽	茄
佇	伫 竚
佈	布
佋	紹
低	仾
佑	祐
体	軆 體
佔	占
佗	它
余	予 餘
佛	仏 彿 𠇛
作	胙 𠈨 𢓓
佞	侫
你	伱 妳 您 祢 袮
佣	傭
佥	僉
佬	姆
佰	百
佱	法
併	倂 并 𠊧
佾	𢔍
使	𠭆 𡥐
侁	詵 駪
侂	託
侃	𠈉
侄	姪
侅	賅
來	徠 来 耒 來
侈	𠈎
侉	誇
侌	陰
侎	敉
侖	仑 崙
侚	殉 狥
侠	俠
価	價
侣	侶
侥	僥
侦	偵
侧	側
侨	僑
侩	儈
侪	儕
侫	佞
侬	儂
侭	儘
侮	㑄 㚢 𢘃
侯	𥎦
侶	侣
侷	局
侽	男
便	便
俁	俣
係	系
俈	嚳
俊	儁
俌	𥙳
俎	爼
俓	勁 徑 𠇹
俔	伣
俖	倍
俗	圱
俞	兪
俟	竢
俠	侠
信	㐰 䚱 伩
俣	俁
俥	伡
俦	儔
俨	儼
俩	倆
俪	儷
俫	倈
俬	私
俭	儉
修	脩
俯	頫
俱	倶
俲	效
俻	備
俼	鬻
倀	伥
倂	併
倅	伜
倆	俩
倈	俫 勑 徠
倉	仓 仺
個	个 箇
倍	俖
倏	倐
倐	倏
們	们
倖	囟 幸
倘	儻
借	藉
倡	娼
倣	仿
値	值
倪	𮯴
倫	伦 倫
倲	㑈
倶	俱
倹	儉
债	債
值	値
倾	傾
偀	英
偁	稱 穪
偃	㫃
假	仮
偉	伟
偊	踽
偎	渨 隈
偐	贋 贗
偑	㐽
偒	蕩
停	仃
健	徤
偩	𰁾
偪	逼
偬	傯
偰	𥝁
側	侧
偵	侦 遉
偷	偸
偸	偷
偹	備
偺	咱 喒 昝
偻	僂
偽	伪 僞
偾	僨
偿	償
傁	叜 叟 墰
傌	㐷 罵
傍	旁
傏	搪
傑	杰
傖	伧
傘	伞 繖
備	俻 备 𠈍
傜	徭
傢	家
傤	儎
傥	儻
傧	儐
储	儲
傩	儺
傪	𫢺
傭	佣
傯	偬
傱	𰁧
傳	传
傴	伛
債	债
傷	伤
傻	儍
傽	慞
傾	倾
僀	𰂗
僂	偻
僅	仅
僆	𫢪
僈	𣍑
僉	佥 𠑲
僊	仙
働	仂 𫢙
像	象
僑	侨
僓	𰂜
僕	䑑 仆
僗	𫢬
僚	僚
僞	伪 偽
僡	惠
僣	僭
僤	𫢸
僥	侥 徺
僨	偾
僩	𰂎
僫	惡
僭	僣
僱	雇
僴	𰂋
僵	殭
價	价
僼	㒥
僾	𫣊
儀	仪
儁	㑺 俊
儂	侬
億	亿
儅	當 𰁸
儆	警
儈	侩
儉	俭 𠈏
儌	僥
儍	傻
儎	傤 載
儐	傧
儒	㐵
儓	枱 檯
儔	俦 𠍻
儕	侪
儖	𫣉
儘	侭 尽
儛	㒇
償	偿
儡	酹
儢	𰂦
儣	𠆲
儥	𰂏
儩	𰂭
優	优
儭	襯 𠋆
儮	𮯸
儰	𫢭
儱	𫢒
儲	储
儶	㒞
儷	㒧 俪
儸	㑩
儹	𰃆
儺	傩 𩙎
儻	倘 傥
儼	俨 𡅝
儿	兒
兀	兀
允	㽙
兂	簪
充	𠑽
兇	凶
光	灮 炗 𠈑 𤉭 𤎫
克	剋 𠅔 𠅡 𠧳 𠧻 𡱀
兌	兑
兎	兔
児	兒
兑	兌
兒	儿 𠒆
兔	兎
兕	𠒅 𤉡 𧣶 𧰽
兖	兗
兗	兖
兘	始
党	黨
兢	𠓆
兦	亡
內	内 𡗠
全	㒰 𠓴
兩	㒳 両 两 兩
兪	俞
八	捌
公	㒶
六	陸 六
兮	𠔃
兰	蘭
共	𦱹
兲	天
关	關
兴	興
兵	𠈯 𠡿
其	丌 亓
典	𥮏
兹	玆 茲
养	養
兼	𥡝
兽	獸
兿	藝
冁	囅
冂	冋 坰
冄	冉
内	內
円	圓
冈	岡
冉	冄
冊	册
冋	冂 坰
册	冊
冐	冒 昌
冑	伷 胄
冒	𡇾 𡈘 冒
冗	宂 冗
写	寫
军	軍
农	農
冝	宜
冢	塚
冣	最 聚
冤	寃
冥	𣩆
冦	寇
冨	富
冩	寫
冪	幂 羃 鼏
冫	冰 氷
冬	鼕 𠔙 𠘀 𠘗 𣅈 𣆼
冯	馮
冰	冫 氷 𣲝
冱	沍 沪
冲	沖 衝
决	決
况	況
冷	冷
冻	凍
冽	洌
净	凈 淨
凂	浼
凃	塗
凄	悽 淒
凅	涸
准	準
凈	净 淨
凉	涼
凋	雕
凌	淩 凌
凍	冻
减	減
凑	湊
凔	𠖸 𰃷
凖	準
凘	𠗧
凙	𪞝
凛	凜 懔
凜	凛
凟	𰃿
几	幾
凡	凢 凣
凢	凡
凣	凡
凤	鳳
処	䖏 處
凨	風
凫	鳧 鳬
凬	風
凭	憑
凯	凱
凱	凯
凳	櫈
凴	憑 𮰉
凶	㐫 兇 𣧑
凷	塊
凹	𠕄
出	岀 齣
击	擊
凼	幽
函	凾 圅
凾	函 圅
凿	鑿
刀	刂
刂	刀
刃	刄
刄	刃
刅	創
分	份
切	切
刈	苅 𠛄
刊	刋
刋	刊
刍	芻
刏	𣱚
划	劃
刓	园
刔	抉
列	列 𠜺
刘	劉
则	則
刚	剛
创	創
初	䥚
删	刪 𠛹
別	别 𠔁
刦	刧 劫
刧	刦 劫
刨	鉋
利	利 𥝢 𥝤
刪	删
别	別 彆
刬	剗
刭	剄
刮	颳
刱	剏 剙 創
刴	剁
制	製 𠛐 𠜔 𠝁 𠝦
刷	㕞
刹	剎
刺	㓨 刾 莿
刻	𠞫
刼	劫
刽	劊
刾	㓨 刺
刿	劌
剀	剴
剁	刴
剂	劑
剃	鬀
剄	刭
則	则 𠞋 𠟔 𠟭 𠟻
剈	𠜟
剉	銼
剋	克 尅
剌	巤
前	歬 𣦃
剎	刹
剏	刱
剐	剮
剑	劍
剔	𠜓 𠠡
剕	䠊
剖	𠞌
剗	刬 剷
剙	刱 創
剚	𨧫
剛	刚 𠇙 𠇝 𠜛
剝	剥 𠚪
剣	劍
剤	劑
剥	剝
剦	閹
剧	劇
剩	剰 賸
剪	翦
剮	剐 咼
剰	剩
剱	劍
割	㓣 𠛛 𠛷
剳	劄 箚
剴	剀
創	刅 创 刱 剙 戧 瘡 𠛲 𠝀
剷	剗 鏟 铲
剸	𰄞
剽	𡬽
剾	𠛅
剿	勦 𠞰 𣩓
劃	㓰 划 𠟱
劄	剳
劆	鐮
劇	剧
劈	擗
劉	刘 鎦 𠭱
劊	刽
劌	刿
劍	剑 劒
劎	劔
劏	㓥
劑	剂 剤 𠜸
劒	劍
劓	㓷
劔	劍 劎
劗	𭄛
劘	𠞥
劚	㔉
力	力 𠠲
劝	勸
办	辦
务	務
劢	勱 勵
劣	劣
动	動
劫	刦 刧 刼
励	勵
劲	勁
劳	勞
労	勞
劵	券
効	效
势	勢
勁	俓 劲 徑
勃	艴
勄	敏
勅	勑 敕
勋	勛 勳
勑	倈 勅 徠 敕 𠡠
勒	勒
動	㣫 动 𨔝
勖	勗
勗	勖
務	务
勚	勩
勛	勋 勲 勳
勝	胜 𠅫 𠢧 𢾶
勞	劳 勞 𠣁 𢥒
勠	𠝧
勢	势
勣	𪟝
勤	懃 瘽
勦	剿
勧	勸
勩	勚
勰	協 恊 脅
勱	劢
勲	勛 勳
勳	勋 勛
勴	𰅔
勵	劢 励
勸	劝 勧
勹	包
勻	匀
勽	㲒 菢
勾	句
匀	勻
匃	丐 匄
匄	匃
包	勹
匆	怱 悤
匈	胷 胸
匊	掬 𦥑
匋	陶
匏	瓟
匐	𨄑
化	𠏁 𠤎 𠯒
北	北 𧉥
匘	腦
匙	鍉
匚	𠤬
匜	也 鉈
匝	帀 迊 𠂝
匦	匭
匧	篋
匨	藏
匭	匦
匮	匱
匯	汇 滙
匰	𰅦
匱	匮 樻 櫃 鐀 饋
匳	奩
匵	櫝 𰅥
匸	放
匹	疋
区	區
医	醫
匿	匿
區	区
十	拾 拾
千	仟 韆
卄	廿
卆	卒
升	昇
卉	芔 𠦄
卋	世
卌	𠦌 𠦜
卍	万 卐 萬
华	華
协	協
卐	卍
卑	𤰞
卒	䘚 卆
卓	棹 𠤚 𠤞 𠤟 𢂚
協	勰 协 恊 旪
单	單
卖	賣
南	𡴖 𡴟
単	單
博	愽
卛	率
卜	蔔 𠁡
卝	磺
占	佔
卢	盧
卣	𠧪
卤	滷 鹵
卧	臥
卨	𫧯
卩	㔾 節 部
卫	衛
卬	卭
卭	卬
卮	巵
卯	夘 戼 𤕰 𦕔 𩇧 𩇨
印	𠘄
危	𡴲 𡵁
即	卽
却	卻
卵	卵
卷	捲
卸	缷
卹	恤
卺	巹
卻	却
卽	即 皍
厂	廠
厄	戹 阨
厅	廳
历	厲 曆 歷
厉	厲
压	壓
厌	厭
厍	厙
厎	砥
厐	龎 龐
厓	崖
厕	厠 廁
厖	庬 龐
厗	銻
厘	釐 𭀖
厙	厍
厚	垕 𡦩
厛	廳
原	亰 𠪥 𠪰 𨘡
厠	厕 廁 𨕟
厢	廂
